Job,Industry,NAICS Code,Seniority,Notes,Seniority link,
assistant project manager (construction),Speciality Trade Contractors,2389,2,,https://www.bls.gov/ooh/management/construction-managers.htm,
sales assistant (wholesale trade),Wholesale Trade Agents and Brokers,4251,0,,https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm,
sales representative,Wholesale Trade Agents and Brokers,4251,0,,https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm,
sales intern (wholesale trade),Wholesale Trade Agents and Brokers,4251,1,"Intern position takes regular position seniority -1 (for this one, the sales coordinator / manager is 2)",https://www.bls.gov/ooh/management/sales-managers.htm,
sales coordinator,Wholesale Trade Agents and Brokers,4251,2,,https://www.bls.gov/ooh/management/sales-managers.htm,
assistant manager (sales),Wholesale Trade Agents and Brokers,4251,2,,https://www.bls.gov/ooh/management/sales-managers.htm,
sales manager,Wholesale Trade Agents and Brokers,4251,2,,https://www.bls.gov/ooh/management/sales-managers.htm,
sales executive,Wholesale Trade Agents and Brokers,4251,3,,https://www.bls.gov/ooh/management/sales-managers.htm,
senior sales representative,Wholesale Trade Agents and Brokers,4251,3,"Senior position takes regular position seniority +1 (for this one, the sales coordinator / manager is 2)",https://www.bls.gov/ooh/management/sales-managers.htm,
sales associate ,Retail Trade,4599,0,,https://www.bls.gov/ooh/sales/retail-sales-workers.htm,
sales assistant,Retail Trade,4599,0,,https://www.bls.gov/ooh/sales/retail-sales-workers.htm,
assistant manager,Retail Trade,4599,0,,https://www.bls.gov/ooh/sales/retail-sales-workers.htm,
assistant store manager,Retail Trade,4599,0,,https://www.bls.gov/ooh/sales/retail-sales-workers.htm,
production assistant,Motion Picture and Video Industries,5121,2,,https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm,
music producer,Sound Recording Industries,5122,2,,https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm,
database management intern,"Information (Data Processing, Hosting, and Related Services)",5182,1,,https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm,
data analyst ,"Information (Data Processing, Hosting, and Related Services)",5182,2,,https://www.bls.gov/ooh/math/data-scientists.htm,
senior data analyst ,"Information (Data Processing, Hosting, and Related Services)",5182,3,Senior position takes regular position seniority +1,https://www.bls.gov/ooh/math/data-scientists.htm,
summer intern (bank),Monetary Authorities-Central Bank,5211,1,,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,
credit analyst Intern,Activities Related to Credit Intermediation,5223,1,,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,
intern (investment banking),Securities and Commodity Contracts Intermediation and Brokerage,5231,1,,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,
"intern (finance, wealth management, finance and accounting, financial planning)",Financial Investment Activities,5239,1,,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm
junior financial analyst,Financial Investment Activities,5239,2,,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,
financial analyst,Financial Investment Activities,5239,2,,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,
accounting intern,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",5412,1,Intern position takes regular posiiton seniority -1,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,
assistant accountant,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",5412,2,,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,
accountant,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",5412,2,,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,
quality control inspector,"Architectural, Engineering, and Related Services",5413,0,,https://www.bls.gov/ooh/production/quality-control-inspectors.htm,
engineering technician,"Architectural, Engineering, and Related Services",5413,0,,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineering-technicians.htm,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm
engineering intern,"Architectural, Engineering, and Related Services",5413,1,Intern position takes regular posiiton seniority -1,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,
mechanical engineering intern,"Architectural, Engineering, and Related Services",5413,1,Intern position takes regular posiiton seniority -1,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,
quality assurance intern,"Architectural, Engineering, and Related Services",5413,1,,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,
quality assurance analyst,"Architectural, Engineering, and Related Services",5413,2,,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,
mechanical engineer,"Architectural, Engineering, and Related Services",5413,2,,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,
senior electrical engineer,"Architectural, Engineering, and Related Services",5413,3,Senior position takes regular position seniority +1,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,
project manager (engineering),"Architectural, Engineering, and Related Services",5413,3,Management position takes regular position seniority +1,https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm,
graphic designer,Specialized Design Services,5414,2,,https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm,
